LEAVING COND WATER TEMP.suministro condensador ch3 (deg F);CONDENSER PRESSURE.presion de Condensador (psi);EVAPORATOR PRESSURE.Presion Evaporador (psi);ENTERING COND WATER TEMP.retorno condensador ch3 (deg F);ENTERING CHW TEMP.retorno ch3 (deg F);LEAVING CHW TEMP.suministro ch3 (deg F);DISCHARGE TEMP.Temperatura Descarga (deg F);OIL SUMP TEMPERATURE.temperatura deposito aceite (deg F);EVAP SATURATION TEMP.Temperatura Saturacion Evaporador (deg F);COND SATURATION TEMP.Temperatura Saturacion Condensacion (deg F);OIL SUMP PRESSURE.Presion deposito aceite (psi);MOTOR CURRENT PCT FLA.% FLA CHILLER (%)
79.4;104.3;37.7;77.8;50.9;43.8;102.3;123.0;42.3;90.4;37.3;41.0
79.4;103.6;37.9;77.8;50.9;43.8;101.6;123.0;42.2;90.3;37.3;42.0
79.4;105.3;37.3;77.8;51.1;44.0;101.8;122.9;42.7;90.3;36.5;42.0
79.4;105.9;37.5;77.8;51.3;44.0;102.3;123.1;42.4;90.7;36.6;38.0
80.3;105.9;37.5;77.5;51.0;43.9;102.6;123.2;42.3;89.6;36.6;38.0
80.3;103.7;37.9;77.5;50.9;44.2;102.0;123.0;42.7;89.6;37.4;38.0
80.3;103.7;37.9;77.5;50.9;44.1;101.6;122.9;42.6;89.8;37.3;39.0
80.3;105.2;37.5;77.5;51.0;43.8;102.4;122.8;42.2;90.5;36.7;38.0
80.3;103.3;37.7;77.5;50.9;44.1;101.4;123.0;42.8;89.6;37.3;35.0
81.3;104.2;37.4;77.8;51.1;44.0;101.5;122.8;42.4;90.2;36.7;36.0
81.3;103.3;37.8;77.8;50.9;44.1;101.5;122.8;42.5;89.9;37.1;31.0
81.3;103.2;37.7;77.8;50.6;44.1;101.1;122.5;42.6;89.3;37.2;62.0
81.3;102.9;37.5;77.8;50.3;43.9;101.0;122.6;42.5;89.1;36.9;53.0
81.3;101.4;37.8;77.8;50.3;43.8;100.3;122.7;42.7;88.5;37.4;44.0
81.5;102.1;37.7;78.0;50.3;44.0;100.6;122.6;42.5;88.8;37.2;43.0
81.5;101.4;37.7;78.0;50.1;44.1;100.6;122.7;42.8;88.3;37.3;46.0
81.5;101.3;37.8;78.0;50.0;44.1;100.3;122.7;42.7;88.3;37.5;56.0
81.5;101.1;37.8;78.0;49.9;44.0;100.2;122.8;42.6;88.2;37.4;60.0
80.3;100.9;37.7;78.0;49.8;44.0;100.2;122.8;42.7;88.2;37.3;61.0
80.8;91.9;40.4;78.0;50.5;47.2;102.5;123.4;46.9;84.4;36.0;55.0
80.8;90.8;39.8;78.0;50.6;49.9;104.2;125.5;45.0;82.7;34.7;45.0
80.8;91.8;43.2;78.0;51.4;49.5;106.1;127.2;49.8;81.7;38.8;40.0
80.8;88.7;39.8;78.0;51.2;49.0;105.7;128.3;49.0;81.4;38.3;38.0
80.8;95.2;40.6;78.0;51.1;47.6;104.8;128.3;48.0;81.4;36.6;34.0
80.3;94.4;42.5;77.7;51.5;48.3;103.9;127.8;46.9;81.9;37.5;56.0
80.3;93.6;43.9;77.7;51.7;47.0;104.4;127.5;47.8;85.3;37.2;59.0
79.3;96.4;39.7;77.7;52.1;49.2;103.1;126.6;49.2;84.9;38.0;59.0
79.3;96.7;39.4;77.7;51.6;49.3;104.2;126.2;49.8;82.0;37.9;59.0
79.3;89.4;40.4;77.7;51.4;48.8;105.1;126.5;48.9;81.0;37.3;60.0
79.7;90.2;41.5;77.4;51.3;47.6;104.8;126.8;47.8;81.4;36.0;61.0
80.7;95.5;42.7;77.4;51.4;48.3;103.8;127.0;46.1;82.3;35.8;62.0
80.8;92.8;44.1;77.4;51.0;46.7;104.5;127.1;47.8;84.2;37.1;62.0
82.3;91.6;39.2;77.4;51.1;49.0;103.8;127.2;48.8;84.0;37.6;63.0
83.6;60.8;59.9;77.4;62.9;63.3;86.2;110.0;62.2;63.0;61.0;63.0
84.0;94.8;49.9;78.4;63.7;52.9;91.2;110.9;49.6;93.4;47.5;62.0
85.0;114.1;42.8;78.4;60.2;49.3;106.9;115.9;47.2;95.1;40.2;65.0
